STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
87544099999,COMODORO P ZANNI,1973-01-01,2020-04-07,null,AR,-35.844592,-61.857553,85.03
87395099999,COMODORO PIERRESTEGUI,1973-01-01,2020-04-07,null,AR,-31.296944,-57.996631,34.13
87860099999,COMODORO RIVADAVIA,1957-06-30,2020-04-07,null,AR,-45.785347,-67.465508,57.91
87345099999,CORDOBA OBSERVATORIO,2009-06-15,2017-03-02,null,AR,-31.4,-64.1833333,426
87637099999,CORONEL SUAREZ AERO,1973-03-07,1997-03-24,null,AR,-37.4333333,-61.8833333,233
87166099999,CORRIENTES,1973-01-01,2020-04-07,null,AR,-27.445503,-58.761864,61.87
87286099999,CURUZU CUATIA,1973-01-01,1997-01-01,null,AR,-29.770555,-57.978889,70.1
87648099999,DOLORES AIRPORT,1973-01-01,2020-04-07,null,AR,-36.35,-57.7333333,9
87568099999,DON TORCUATO,1973-01-01,2005-10-25,null,AR,-34.500614,-58.604197,5
87774499999,EL BOLSON,1980-04-03,1984-04-03,null,AR,-41.967,-71.517,330
87800099999,EL BOLSON,1995-03-02,2020-04-07,null,AR,-41.943189,-71.532289,344.72
87903599999,EL CALAFATE,2002-02-03,2020-01-23,null,AR,-50.280322,-72.053103,203.91
87904099999,EL CALAFATE AERO,2003-03-30,2020-04-07,null,AR,-50.2666666,-72.05,199
87803499999,EL MAITEN,1980-04-14,1983-10-07,null,AR,-42.0333333,-71.1666667,720
87571099999,EL PALOMAR,1973-01-01,2020-04-01,null,AR,-34.609939,-58.612592,17.98
87418099999,EL PLUMERILLO,1957-06-30,2020-04-07,null,AR,-32.831717,-68.792856,704.08
87789599999,EL TEHUELCHE,2004-09-14,2019-06-17,null,AR,-42.759161,-65.102725,129.84
87470099999,EL TREBOL,2019-12-10,2020-04-07,null,AR,-32.5,-61.6666666,96
87917499999,EL TURBIO / AIRPORT,1980-08-25,2017-06-22,null,AR,-51.6,-72.2166667,273
87917099999,EL TURBIO AIRPORT,1979-01-11,1979-01-21,null,AR,-51.6,-72.217,273
87450099999,EMBALSE RIO TERCERO,1973-02-23,1981-12-02,null,AR,-32.183,-64.383,547
87347099999,ESCUELA DE AVIACION MILITAR,2001-09-28,2020-02-25,null,AR,-31.444744,-64.283061,502
87803099999,ESQUEL,1957-06-30,2020-04-07,null,AR,-42.90795,-71.139472,798.88
87162099999,FORMOSA,1973-01-01,2020-04-07,null,AR,-26.212722,-58.228111,59.13
86925099999,FOZ DO IGUACU,2016-07-04,2020-04-06,null,BR,-25.6,-54.4833333,232.5
87022099999,GENERAL ENRIQUE MOSCONI TARTAGAL,1973-01-01,2020-04-07,null,AR,-22.619647,-63.793672,448.97
87171099999,GENERAL PAZ,1974-07-11,1991-05-10,null,AR,-27.75,-57.633,74
87532099999,GENERAL PICO,1973-01-01,2020-04-07,null,AR,-35.696183,-63.758286,139.9
87374099999,GENERAL URQUIZA,1973-01-01,2020-04-07,null,AR,-31.794778,-60.480361,74.06
87791099999,GOBERNADOR CASTELLO,1973-01-01,2020-04-07,null,AR,-40.869222,-63.000389,6.09
87880099999,GOBERNADOR GREGORES,1973-01-01,1997-04-17,null,AR,-48.7833333,-70.1666667,356
87825099999,GOLFO NUEVO (ARG-NA,1980-04-07,1981-01-13,null,AR,-42.767,-65.033,6
87273099999,GOYA AIRPORT,1973-01-01,1975-04-29,null,AR,-29.1,-59.217,38
87497099999,GUALEGUAYCHU,1965-03-27,2020-04-07,null,AR,-33.010278,-58.613056,22.86
87173099999,ITUZAINGO,1984-01-31,1995-05-18,null,AR,-27.5833333,-56.6666666,72
87305099999,JACHAL,1973-01-11,1990-08-10,null,AR,-30.25,-68.75,1165
87807499999,JOSE SN MARTIN(JSM),1980-03-19,1981-06-03,null,AR,-44.033,-70.467,800
87046099999,JUJUY,1973-01-01,2020-04-07,null,AR,-24.392778,-65.097778,920.19
87548099999,JUNIN,1967-05-05,2020-04-07,null,AR,-34.545889,-60.930556,79.85
87427099999,LA PAZ,1973-01-03,1976-11-08,null,AR,-33.467,-67.55,504
87593099999,LA PLATA,1973-01-01,2020-04-07,null,AR,-34.972222,-57.894694,21.94
